,Unnamed: 0,Unnamed: 0.1,mid,name,sex,level,has_fans_badge,title,has_live_room,zone,following,follower,follower_mid_list
491,491,480366389,480366389,溫暖的冷风,男,6,False,bilibili 知名UP主,1,"{'生活': 130, '美食': 2}",107,972649,"[946974, 81824112, 395936853, 19642758, 355596637, 4249401, 62540916, 55723103, 466272, 306895558, 208259, 18202105, 321422126, 456664753, 1420982, 235555226, 197098, 125526, 883968, 216623621, 99157282, 22141287, 646730844, 17409016, 3433092, 390461123, 285571498, 10330740, 7552204, 257975429, 397076059, 279583114, 337521240, 808171, 4408538, 113362335, 2206456, 52250, 122879, 777536, 147166910, 295723, 13354765, 416128940, 163637592, 67141499, 353539995, 119801456, 438880209, 14110780, 512574759, 29329085, 39922227, 37090048, 26139491, 320818292, 5970160, 4162287, 1962633, 437316738, 250858633, 20165629, 517327498, 23604445, 11870568, 92568184, 1532165, 32786875, 19577966, 39847479, 196356191, 546195, 9824766, 562197, 32820037, 37663924, 3345720]"
492,492,4029133,4029133,邵艾伦Alan,男,6,True,bilibili 知名搞笑UP主,1,"{'时尚': 14, '生活': 137, '美食': 4, '音乐': 2, '游戏': 18}",100,976234,"[14402657, 8784855, 32820037, 295723, 178029850, 52250, 808171, 7788379, 9617619, 185546, 249491937, 235555226, 18020792, 16419172, 486633990, 2435767, 300159010, 43976732, 41273726, 33918431, 7487399, 66391032, 30625977, 2206456, 562197, 6574487, 5970160, 9824766, 221648, 265059948, 75912367, 20951119, 12816241, 75547577, 203708804, 32786875, 5848380, 113362335, 515993, 24801003, 26240675, 10345615, 7552204, 92568184, 22298920, 28642491, 37291782, 4050333, 176037767, 1848018, 82385070, 406745134, 7956629, 279583114, 19642758, 7679753, 39847479, 13354765, 37090048]"
493,493,350632501,350632501,在下小苏,保密,6,True,bilibili 知名Vlog UP主,1,"{'时尚': 6, '生活': 136, '影视': 1, '数码': 1, '美食': 2, '知识': 24}",161,971984,"[6534506, 9617619, 16671656, 598464467, 10009492, 67141499, 7552204, 18020792, 22344481, 3957971, 64925986, 8366990, 326081112, 3433092, 946974, 351477766, 532741557, 106685726, 332432527, 520155988, 349721082, 208259, 517327498, 220963083, 16206007, 113362335, 11733609, 119801456, 470156882, 38740321, 34149649, 125526, 37663924, 14583962, 450595813, 25356402, 25782796, 6574487, 7788379, 546195, 5128788, 235555226, 1858682, 62540916, 250111460, 4249401, 249491937, 163637592, 19577966, 257975429, 164139557, 1885078, 96852523, 254463269, 9824766, 37090048, 466272, 13177698]"
494,494,19738891,19738891,一米八的坤儿,男,6,True,bilibili直播签约主播,1,"{'生活': 2, '游戏': 208}",14,971061,"[222103174, 9008159, 9617619, 456664753, 37090048, 8047632, 321173469, 174501086]"
495,495,89847338,89847338,Pony_朴惠敏,保密,6,False,美妆达人Pony_朴慧敏,1,"{'时尚': 218, '生活': 16, '影视': 1, '美食': 3, '音乐': 1, '娱乐': 9}",1,969739,[]
496,496,403943112,403943112,这知识好冷,男,6,True,bilibili 知名科普UP主,1,"{'生活': 4, '知识': 183}",19,969743,"[269319344, 10119428, 43645887, 378885845, 37090048, 235555226]"
497,497,1770706,1770706,瞬间爆炸型LowSing,男,6,True,bilibili 2018百大UP主、知名UP主,1,"{'鬼畜': 231, '生活': 5, '影视': 1, '游戏': 3}",155,966051,"[808171, 596324576, 11997177, 279991456, 8034163, 2374194, 2, 176037767, 40966108, 19071708, 59905809, 1774758, 24314825, 7792521, 75, 7349, 256763, 282994, 8578857, 1398957, 546195, 116683, 375375, 748709, 51766, 777536, 11073, 423895, 43536, 185546, 398510, 6171645]"
498,498,514019783,514019783,武当陈师行,保密,6,True,武当陈师行官方账号,1,"{'舞蹈': 1, '时尚': 1, '生活': 183}",3,971866,"[37090048, 20503549]"
499,499,2460656,2460656,银临,女,6,True,bilibili 知名音乐UP主,1,"{'生活': 7, '资讯': 1, '音乐': 49, '知识': 1}",29,963865,"[101229184, 37090048, 299609985, 284120, 617285, 26253404, 17819768, 521444, 11684516, 486183, 7714, 423442]"
500,500,320818292,320818292,窝头是个暴脾气,保密,6,True,bilibili 知名UP主，Vlog领域优质UP主,0,"{'生活': 7, '美食': 138, '音乐': 1}",40,968167,"[431047137, 489412051, 52190805, 3334179, 37961599, 532741557, 280793434, 99157282, 393166851, 395936853, 338927049, 2306780, 12820125, 250858633, 290526283, 19577966, 4249401, 321173469, 216156027, 26366366, 37090048, 235555226, 8047632]"
