,mid,name,sex,level,has_fans_badge,title,has_live_room,zone
1643718,1643718,山下智博,男,6,True,bilibili 2019百大UP主,1,"{'舞蹈': 1, '时尚': 1, '生活': 1074, '纪录片': 29, '影视': 12, '美食': 26, '音乐': 8, '知识': 27, '游戏': 36, '娱乐': 4}"
436473455,436473455,冯提莫,保密,6,True,歌手、bilibili 直播签约主播,1,"{'舞蹈': 2, '时尚': 3, '生活': 14, '美食': 4, '音乐': 51, '游戏': 1, '娱乐': 3}"
51896064,51896064,罗汉解说,保密,6,True,bilibili 2019百大UP主、知名UP主,1,"{'鬼畜': 5, '生活': 8, '游戏': 56}"
52250,52250,视角姬,男,6,True,bilibili 知名UP主、直播签约主播,1,"{'动画': 6, '鬼畜': 3, '舞蹈': 1, '时尚': 1, '生活': 118, '美食': 8, '知识': 1, '游戏': 105}"
730732,730732,瓶子君152,男,6,True,bilibili 2018百大UP主、知名UP主,1,"{'动画': 131, '生活': 8, '国创': 2, '影视': 1, '音乐': 6, '知识': 2, '游戏': 28}"
322892,322892,痒局长,保密,6,True,bilibili 2019百大UP主、直播签约主播,1,"{'鬼畜': 133, '舞蹈': 1, '时尚': 1, '生活': 25, '数码': 8, '美食': 2, '音乐': 16, '知识': 1, '游戏': 242}"
5294454,5294454,逗比的雀巢,男,6,True,bilibili 知名游戏UP主,1,"{'动画': 16, '舞蹈': 1, '生活': 11, '游戏': 57}"
27218150,27218150,刘哔电影,男,6,True,bilibili 2018百大UP主、 知名影视UP主,1,"{'动画': 29, '生活': 15, '国创': 2, '影视': 422, '知识': 1, '游戏': 6, '娱乐': 12}"
8578857,8578857,谷阿莫,男,6,True,bilibili 知名UP主,1,"{'动画': 10, '生活': 189, '国创': 2, '影视': 984, '数码': 8, '美食': 6, '音乐': 6, '游戏': 29, '娱乐': 1}"
928123,928123,哔哩哔哩番剧,保密,6,False,哔哩哔哩番剧区官方账号,1,"{'动画': 13, '番剧': 12129, '时尚': 3, '生活': 1, '国创': 185, '音乐': 5, '游戏': 1}"
35359510,35359510,远古时代装机猿,男,6,True,bilibili 2019百大UP主、知名UP主,1,"{'鬼畜': 2, '舞蹈': 1, '生活': 21, '纪录片': 1, '数码': 538, '美食': 1, '音乐': 1, '知识': 21, '游戏': 3}"
